z_along_axis_A,radius_A
-49.6401,4.5856
-49.2317,4.5746
-48.8232,4.2115
-48.4148,3.8549
-48.0064,3.5062
-47.5979,3.1671
-47.1895,2.8400
-46.7810,2.5277
-46.3726,2.2338
-45.9641,1.9632
-45.5557,1.7216
-45.1473,1.5159
-44.7388,1.3272
-44.3304,1.1132
-43.9219,0.9488
-43.5135,0.8443
-43.1051,0.8078
-42.6966,0.8423
-42.2882,0.9450
-41.8797,0.9827
-41.4713,0.6302
-41.0629,0.3008
-40.6544,0.0093
-40.2460,0.0000
-39.8375,0.0000
-39.4291,0.0000
-39.0206,0.0000
-38.6122,0.0204
-38.2038,0.0948
-37.7953,0.0000
-37.3869,0.0000
-36.9784,0.0000
-36.5700,0.0000
-36.1616,0.0000
-35.7531,0.0000
-35.3447,0.0000
-34.9362,0.0000
-34.5278,0.0000
-34.1193,0.0000
-33.7109,0.0000
-33.3025,0.0000
-32.8940,0.3447
-32.4856,0.5880
-32.0771,0.6234
-31.6687,0.7335
-31.2603,0.4571
-30.8518,0.3739
-30.4434,0.3188
-30.0349,0.1266
-29.6265,0.0194
-29.2180,0.0148
-28.8096,0.1137
-28.4012,0.2996
-27.9927,0.5494
-27.5843,0.5263
-27.1758,0.2796
-26.7674,0.0931
-26.3590,0.0000
-25.9505,0.0000
-25.5421,0.0623
-25.1336,0.2330
-24.7252,0.2942
-24.3167,0.3807
-23.9083,0.5395
-23.4999,0.7566
-23.0914,1.0410
-22.6830,0.6832
-22.2745,0.3459
-21.8661,0.0423
-21.4577,0.0000
-21.0492,0.0000
-20.6408,0.0000
-20.2323,0.0000
-19.8239,0.0000
-19.4154,0.2356
-19.0070,0.5630
-18.5986,0.9148
-18.1901,1.3005
-17.7817,1.3797
-17.3732,1.5123
-16.9648,1.4429
-16.5564,1.3311
-16.1479,1.2750
-15.7395,1.2780
-15.3310,1.3400
-14.9226,1.4572
-14.5142,1.6235
-14.1057,1.8316
-13.6973,2.0742
-13.2888,2.3448
-12.8804,2.6381
-12.4719,2.9494
-12.0635,3.2753
-11.6551,3.6131
-11.2466,3.9605
-10.8382,4.3158
-10.4297,4.6777
-10.0213,5.0450
-9.6129,5.4169
-9.2044,5.7927
-8.7960,6.1719
-8.3875,6.5539
-7.9791,6.9042
-7.5706,7.0561
-7.1622,7.2243
-6.7538,7.4081
-6.3453,7.6065
-5.9369,7.8186
-5.5284,8.0434
-5.1200,8.2800
-4.7116,8.5278
-4.3031,8.7857
-3.8947,9.0531
-3.4862,9.3294
-3.0778,9.6137
-2.6693,9.8318
-2.2609,10.0327
-1.8525,10.2443
-1.4440,10.4661
-1.0356,10.6975
-0.6271,10.9380
-0.2187,11.1871
0.1897,11.4443
0.5982,11.4144
1.0066,11.1978
1.4151,10.9481
1.8235,10.7069
2.2320,10.4748
2.6404,10.2522
3.0488,10.0398
3.4573,9.8380
3.8657,9.6475
4.2742,9.4689
4.6826,9.3027
5.0910,8.8876
5.4995,8.5881
5.9079,8.2964
6.3164,8.0131
6.7248,7.7390
7.1332,7.4749
7.5417,7.2217
7.9501,6.9803
8.3586,6.8820
8.7670,6.5711
9.1755,6.2693
9.5839,5.9776
9.9923,5.6972
10.4008,5.4296
10.8092,5.1762
11.2177,4.9386
11.6261,4.7188
12.0345,4.5187
12.4430,4.3402
12.8514,4.1854
13.2599,4.0563
13.6683,3.9547
14.0768,3.8822
14.4852,3.8399
14.8936,3.8285
15.3021,3.8483
15.7105,3.4987
16.1190,3.0922
16.5274,2.6862
16.9358,2.2806
17.3443,1.8758
17.7527,1.4719
18.1612,1.0695
18.5696,0.6693
18.9781,0.2728
19.3865,0.0000
19.7949,0.0000
20.2034,0.0000
20.6118,0.0000
21.0203,0.0000
21.4287,0.0000
21.8371,0.0000
22.2456,0.0908
22.6540,0.2739
23.0625,0.0000
23.4709,0.0000
23.8794,0.0000
24.2878,0.0000
24.6962,0.0000
25.1047,0.0000
25.5131,0.0000
25.9216,0.2205
26.3300,0.5696
26.7384,0.7049
27.1469,0.9024
27.5553,0.8670
27.9638,0.7664
28.3722,0.7364
28.7806,0.7797
29.1891,0.8923
29.5975,0.5783
30.0060,0.3614
30.4144,0.2083
30.8229,0.0000
31.2313,0.0000
31.6397,0.0000
32.0482,0.0000
32.4566,0.0000
32.8651,0.0000
33.2735,0.0000
33.6819,0.3037
34.0904,0.6477
34.4988,1.0096
34.9073,1.3832
35.3157,1.3630
35.7242,1.3806
36.1326,1.5967
36.5410,1.6607
36.9495,1.7741
37.3579,1.9320
37.7664,2.1286
38.1748,2.3582
38.5832,2.6153
38.9917,2.8951
39.4001,3.1936
39.8086,3.5075
40.2170,3.8341
40.6255,4.1712
41.0339,4.5171
41.4423,4.8703
41.8508,5.2210
42.2592,5.2277
42.6677,5.2592
43.0761,5.3149
43.4845,5.3943
43.8930,5.4967
44.3014,5.6210
44.7099,5.7661
45.1183,5.9308
45.5268,6.1138
45.9352,6.3138
46.3436,6.5297
46.7521,6.7600
47.1605,7.0037
47.5690,7.2597
47.9774,7.5268
48.3858,7.8042
48.7943,8.0910
49.2027,8.3863
49.6112,8.6894
50.0196,8.9996
50.4280,9.3164
50.8365,9.6391
51.2449,9.9672
51.6534,10.3004
52.0618,10.6382